grid_id,luas_hijau_m2,luas_bangunan_m2,panjang_jalan_m,index_right,kecamatan,rasio_hijau_bangunan,rasio_jalan_bangunan,emisi_score,kategori_emisi,prediksi_kategori
1449,0.0,95490.8907504218,570.7041704686279,1555.0,Kalibagor,0.0,0.005976467383604582,0.26789508460524647,Rendah,0
1450,0.0,48199.9932239432,546.7749968832505,1555.0,Kalibagor,0.0,0.011343645852750755,0.15277397519925362,Rendah,0
1451,0.0,6976.471494366965,0.0,1555.0,Kalibagor,0.0,0.0,0.016743464612622265,Rendah,0
1452,0.0,0.0,0.0,1555.0,Kalibagor,0.0,0.0,0.0,Rendah,0
1453,0.0,88416.87884024823,1198.6414846926168,1555.0,Kalibagor,0.0,0.013556551009986338,0.29351821354396757,Rendah,0
1509,0.0,96976.84245480358,836.1437788564414,1555.0,Kalibagor,0.0,0.008622008468028408,0.2894693786581847,Rendah,0
1510,0.0,18287.42348953273,329.20384290650014,1555.0,Kalibagor,0.0,0.01800066818744207,0.0662235751332517,Rendah,0
1511,0.0,68478.01966186448,383.4728884764624,1555.0,Kalibagor,0.0,0.005599859495214356,0.1903622590845414,Rendah,0
1512,0.0,15133.796988785856,627.1057619942723,1555.0,Kalibagor,0.0,0.04143469928661263,0.07886524271546341,Rendah,0
1513,1618.4229118676656,5379.724132866989,147.41997760172498,1555.0,Kalibagor,0.30078161821786764,0.027397795159436245,0.02234442823050505,Rendah,0
1514,21461.591935601133,67536.75364408769,1583.3740781087247,1555.0,Kalibagor,0.31777177619350533,0.023444281052829103,0.2619729419783357,Rendah,0
1515,0.0,126194.14806970532,1520.8942157293675,1555.0,Kalibagor,0.0,0.012051923065134678,0.406045652178442,Sedang,1
1516,7722.47065351316,79346.27754186287,1382.749465523562,1555.0,Kalibagor,0.09732496051220986,0.01742655209303226,0.2815281109479218,Rendah,0
1517,90894.50580204712,47115.63226776883,1264.3569056630022,1555.0,Kalibagor,1.929138425800129,0.02683461964084206,0.16694449469887016,Rendah,0
1518,161031.4401694393,80710.65420701937,831.2675421217571,1555.0,Kalibagor,1.9951448369080094,0.010299225685421066,0.19356820372508712,Rendah,1
1520,187112.6691951318,62887.33080486821,274.0715673261176,1555.0,Kalibagor,2.9753161961908416,0.004358067129759177,0.10383489082823424,Rendah,0
1565,0.0,3378.464731008184,125.94499764316824,1555.0,Kalibagor,0.0,0.03726773547525543,0.01665267681436936,Rendah,0
1566,21498.493169553865,32846.036375019954,1265.3178562216392,1555.0,Kalibagor,0.6545032837697159,0.03852152266570717,0.15712494456378623,Rendah,0
1567,0.0,141932.82200336075,964.721617799814,1555.0,Kalibagor,0.0,0.006796981890454349,0.40608630980905713,Sedang,1
1568,1754.0916928708432,9200.58083689512,644.6891870664413,1555.0,Kalibagor,0.19062938466372528,0.0700628727274191,0.06520268922135582,Rendah,0
1569,8586.191129892042,43828.8284831818,1304.4950955739669,1555.0,Kalibagor,0.19589835112374895,0.02976272417024224,0.19067440294420399,Rendah,0
1570,901.828511786209,26922.369493002392,1069.82571420112,1555.0,Kalibagor,0.03349612358217651,0.039735951864389656,0.13687623209804725,Rendah,0
1571,8240.68023864423,87501.10368530397,1309.9438957596583,1555.0,Kalibagor,0.09417693851431663,0.014970427459330492,0.2959783981053203,Rendah,0
1572,92607.5338629086,109635.2132707379,750.1538592965343,1555.0,Kalibagor,0.8446801572234319,0.006842208764033915,0.2815048143562476,Rendah,1
1573,15439.731807426208,47671.86033637551,885.6418891044691,1555.0,Kalibagor,0.32386837497235993,0.018577485866286558,0.16907568972672132,Rendah,0
1574,0.0,110264.56511763192,1898.70573894424,1555.0,Kalibagor,0.0,0.017219389724422943,0.3934463954574974,Sedang,1
1575,0.0,186181.34840476743,2268.566979243052,1555.0,Kalibagor,0.0,0.01218465122327871,0.6007381707894349,Sedang,2
1576,0.0,99671.1647618342,943.4519730427804,1555.0,Kalibagor,0.0,0.00946555114255972,0.30321575726572014,Rendah,0
1612,9412.618246802842,88529.76869768728,653.4164517618456,1555.0,Kalibagor,0.10632030406225007,0.007380670713400402,0.2534954551726158,Rendah,0
1613,201099.28758926952,48900.71241073047,888.9989425140375,1555.0,Kalibagor,4.112315861256884,0.018179300860617,0.10707506745179234,Rendah,0
1614,250000.0,0.0,772.7642267792664,1555.0,Kalibagor,250000.0,772.7642267792664,-0.03533887333110334,Rendah,0
1615,250000.0,0.0,504.56509429239634,1555.0,Kalibagor,250000.0,504.56509429239634,-0.053534109923533794,Rendah,0
1616,49447.27960410737,34232.30726305834,966.2223056436164,1555.0,Kalibagor,1.4444201731413384,0.02822462633302979,0.13034896658207956,Rendah,0
1617,11254.89581912191,254.6049544431285,0.0,1555.0,Kalibagor,44.03238522368352,0.0,-0.0033400919707582454,Rendah,0
1618,4546.437040176588,25819.66541501096,366.94699580187694,1555.0,Kalibagor,0.17607745451569565,0.01421136868101589,0.08526539316751418,Rendah,0
1619,1524.799138086887,50081.21861270409,202.77264866341332,1555.0,Kalibagor,0.030445918338372083,0.004048795246702131,0.13341570396545216,Rendah,0
1620,0.0,18282.770364126507,214.43787489097,1555.0,Kalibagor,0.0,0.011728318099624886,0.058426424473201094,Rendah,0
1653,0.0,86209.89714088051,1016.4970703429392,1555.0,Kalibagor,0.0,0.011790818841402876,0.2758643890438506,Rendah,0
1654,0.0,122553.27625962398,656.2842987570235,1555.0,Kalibagor,0.0,0.005355050176843476,0.33865049976308503,Sedang,1
1655,0.0,153222.378081755,1870.996295958922,1555.0,Kalibagor,0.0,0.012210906190572428,0.494664862806765,Sedang,1
