grid_id,luas_hijau_m2,luas_bangunan_m2,panjang_jalan_m,index_right,kecamatan,rasio_hijau_bangunan,rasio_jalan_bangunan,emisi_score,kategori_emisi
0,0.0,12325.803919069996,0.0,1561.0,Lumbir,0.0,0.0,0.029581811078523677,sedang
1,0.0,59075.12144293157,1047.825553591905,1561.0,Lumbir,0.0,0.017736871141822,0.21286658312110515,parah
2,0.0,36477.467274234215,243.34879800215435,1561.0,Lumbir,0.0,0.006671025845815582,0.10405490489331343,parah
3,1.8579772568568984,0.0,0.0,1561.0,Lumbir,1.8579772568568984,0.0,-6.522611146124504e-07,sedang
4,0.0,0.0,0.0,1561.0,Lumbir,0.0,0.0,0.0,sedang
5,0.0,0.0,0.0,1561.0,Lumbir,0.0,0.0,0.0,sedang
6,0.0,33851.837471636056,122.67246035188468,1561.0,Lumbir,0.0,0.0036236980269280837,0.08956646250685397,parah
7,0.0,135115.58277040086,1456.1937446855854,1561.0,Lumbir,0.0,0.010777313301062737,0.4230675833188998,parah
8,0.0,13371.61163971608,0.0,1561.0,Lumbir,0.0,0.0,0.03209173956836032,sedang
9,0.0,0.0,0.0,1561.0,Lumbir,0.0,0.0,0.0,sedang
10,0.0,0.0,0.0,1561.0,Lumbir,0.0,0.0,0.0,sedang
11,0.0,0.0,0.0,1561.0,Lumbir,0.0,0.0,0.0,sedang
12,21725.697659850408,0.0,0.0,1561.0,Lumbir,21725.697659850408,0.0,-0.007627018963256647,sedang
13,79732.88001873872,0.0,0.0,1561.0,Lumbir,79732.88001873872,0.0,-0.02799100850150442,sedang
14,94648.392298141,0.0,0.0,1561.0,Lumbir,94648.392298141,0.0,-0.033227245182268016,normal
15,2307.20850308682,106183.6655705648,1129.5876845410185,1561.0,Lumbir,0.021728264535085525,0.010637954910639647,0.3306635967901914,parah
16,73469.41595379692,8179.774019487154,68.12634982538061,1561.0,Lumbir,8.98074140402703,0.008327616636653093,-0.0015389330990145632,sedang
17,0.0,0.0,0.0,1561.0,Lumbir,0.0,0.0,0.0,sedang
18,798.7364688106501,0.0,0.0,1561.0,Lumbir,798.7364688106501,0.0,-0.0002804042608731317,sedang
19,56812.3200277648,0.0,0.0,1561.0,Lumbir,56812.3200277648,0.0,-0.01994452141341965,sedang
20,216812.77931266496,9148.234124290702,85.41276742834181,1561.0,Lumbir,23.697369240671108,0.00933551008401629,-0.048363980155116136,normal
21,133762.88817945094,116237.11182054906,564.2342585464562,1561.0,Lumbir,1.1507661823168378,0.004854124432247604,0.270288110450424,parah
22,21228.670926899136,105250.65216509906,913.1993687134874,1561.0,Lumbir,0.20169441989945752,0.008676342365448396,0.3071015354134777,parah
23,60470.76279190386,19482.695035027133,424.2908839180098,1561.0,Lumbir,3.103659890138475,0.021776715512906247,0.054314282013207954,sedang
24,87.0854574087383,0.0,0.0,1561.0,Lumbir,87.0854574087383,0.0,-3.057220281159429e-05,sedang
25,1157.4786273222692,0.0,0.0,1561.0,Lumbir,1157.4786273222692,0.0,-0.0004063442094412359,sedang
26,159498.52755214897,3821.186857383276,382.8018357488422,1561.0,Lumbir,41.729652029975306,0.10015256972834495,-0.0208525650399981,sedang
27,208314.51759138505,37099.42207504287,0.0,1561.0,Lumbir,5.614882687049439,0.0,0.015907405018927276,sedang
28,120062.13397239176,47546.982031630985,350.5844674831433,1561.0,Lumbir,2.5250731753983,0.007373277529421108,0.09574775661934287,parah
29,33334.84955277746,99408.39630068211,1291.0266255199178,1561.0,Lumbir,0.3353289607749959,0.012986967767261848,0.3144628416827263,parah
30,39072.399968728176,22108.20328162328,315.10449076465807,1561.0,Lumbir,1.7672459505225302,0.01425218660079744,0.06072012925499966,sedang
31,127398.80723888052,0.0,0.0,1561.0,Lumbir,127398.80723888052,0.0,-0.04472459913233969,normal
32,232044.88677476416,0.0,0.0,1561.0,Lumbir,232044.88677476416,0.0,-0.08146163034517963,normal
33,250000.0,0.0,0.0,1561.0,Lumbir,250000.0,0.0,-0.08776494871038774,normal
34,89285.51097822996,77421.97775319342,1033.9666941541795,1561.0,Lumbir,1.1532172175403992,0.013354778182908783,0.22461409255707523,parah
35,0.0,21472.99682022604,91.41576261839764,1561.0,Lumbir,0.0,0.004257044619299491,0.057736838612294734,sedang
35,0.0,21472.99682022604,91.41576261839764,1553.0,Gumelar,0.0,0.004257044619299491,0.057736838612294734,sedang
36,43502.00458238338,1689.6821393240623,249.41754635472444,1561.0,Lumbir,25.73044546373191,0.1475248011163364,0.005704467360396209,sedang
36,43502.00458238338,1689.6821393240623,249.41754635472444,1553.0,Gumelar,25.73044546373191,0.1475248011163364,0.005704467360396209,sedang
37,120.32511873281622,0.0,0.0,1561.0,Lumbir,120.32511873281622,0.0,-4.2241311496627724e-05,sedang
38,76731.26112338845,0.0,0.0,1561.0,Lumbir,76731.26112338845,0.0,-0.026937260787910224,sedang
39,247050.43147506332,0.0,0.0,1561.0,Lumbir,247050.43147506332,0.0,-0.08672947378915237,normal
40,250000.0,0.0,0.0,1561.0,Lumbir,250000.0,0.0,-0.08776494871038774,normal
41,116661.4549622713,0.0,509.6153696909949,1561.0,Lumbir,116661.4549622713,509.6153696909949,-0.00638168553670241,sedang
42,12556.0437906958,44379.02152348683,1060.3304278498165,1561.0,Lumbir,0.2829210838496525,0.023892066552709253,0.17403652123121016,parah
43,193016.77664932288,19891.053275186,15.758566609992991,1561.0,Lumbir,9.703210321183803,0.0007922041225201595,-0.018952996253972565,sedang
44,74396.41386005787,0.0,0.0,1561.0,Lumbir,74396.41386005787,0.0,-0.026117589786659037,sedang
