grid_id,luas_hijau_m2,luas_bangunan_m2,panjang_jalan_m,index_right,kecamatan,road_km_per_km2,building_area_pct,green_area_pct,ratio_green_building,ratio_road_building,road_norm,build_norm,green_norm,emission_score,emission_label
0,0.0,12325.803919069996,0.0,1561.0,Lumbir,0.0,1.2325803919069998,0.0,0.0,0.0,0.0,0.057947726884991224,0.0,0.02317909075399649,Rendah
1,0.0,59075.12144293157,1047.825553591905,1561.0,Lumbir,1.047825553591905,5.9075121442931575,0.0,0.0,0.017736871141822,0.32068300155712476,0.2777319049978023,0.0,0.20729766246625836,Sedang
2,0.0,36477.467274234215,243.34879800215435,1561.0,Lumbir,0.24334879800215437,3.6477467274234217,0.0,0.0,0.006671025845815582,0.0744759685437511,0.17149277442205316,0.0,0.09093990033194659,Sedang
3,1.8579772568568984,0.0,0.0,1561.0,Lumbir,0.0,0.0,0.00018579772568568984,1.8579772568568984,0.0,0.0,0.0,7.431909027427594e-06,-2.2295727082282782e-06,Rendah
4,0.0,0.0,0.0,1561.0,Lumbir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rendah
5,0.0,0.0,0.0,1561.0,Lumbir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rendah
6,0.0,33851.837471636056,122.67246035188468,1561.0,Lumbir,0.12267246035188469,3.385183747163606,0.0,0.0,0.0036236980269280837,0.03754343712957496,0.15914881051502944,0.0,0.07492255534488426,Sedang
7,0.0,135115.58277040086,1456.1937446855854,1561.0,Lumbir,1.4561937446855855,13.511558277040086,0.0,0.0,0.010777313301062737,0.44566252397043143,0.6352235472586014,0.0,0.38778817609456995,Tinggi
8,0.0,13371.61163971608,0.0,1561.0,Lumbir,0.0,1.3371611639716081,0.0,0.0,0.0,0.0,0.0628644187752827,0.0,0.025145767510113083,Rendah
9,0.0,0.0,0.0,1561.0,Lumbir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rendah
10,0.0,0.0,0.0,1561.0,Lumbir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rendah
11,0.0,0.0,0.0,1561.0,Lumbir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rendah
12,21725.697659850408,0.0,0.0,1561.0,Lumbir,0.0,0.0,2.172569765985041,21725.697659850408,0.0,0.0,0.0,0.08690279063940164,-0.02607083719182049,Rendah
13,79732.88001873872,0.0,0.0,1561.0,Lumbir,0.0,0.0,7.973288001873873,79732.88001873872,0.0,0.0,0.0,0.3189315200749549,-0.09567945602248647,Rendah
14,94648.392298141,0.0,0.0,1561.0,Lumbir,0.0,0.0,9.4648392298141,94648.392298141,0.0,0.0,0.0,0.378593569192564,-0.11357807075776918,Rendah
15,2307.20850308682,106183.6655705648,1129.5876845410185,1561.0,Lumbir,1.1295876845410184,10.61836655705648,0.23072085030868203,0.021728264535085525,0.010637954910639647,0.34570598890133314,0.4992049275269176,0.009228834012347281,0.3006251174774628,Tinggi
