kecamatan,n_grid,mean_score,mean_road_km_per_km2,mean_building_density,mean_green_ratio,kategori
Purwokerto Timur,129,0.6586216850779786,20.880587705536282,1.2993071367258775,0.01016406337721246,Parah
Purwokerto Utara,106,0.5876736337464497,20.777500750478882,1.0966662853211624,0.005627874912329316,Parah
Purwokerto Barat,115,0.5508620028796021,19.52023554999445,0.9228025815978743,0.04261634990516515,Parah
Purwokerto Selatan,149,0.5409830881593523,17.011679599760352,0.9412406360729032,0.1584385932104014,Parah
Kembaran,194,0.38230752293763526,8.498563903179157,0.47887327765948984,0.012388160267313023,Parah
Sokaraja,232,0.36907655219578134,8.87697180363874,0.4742265375265702,0.18868011437014962,Parah
Karanglewas,298,0.28816743594124833,7.0460602745517,0.34860025570548153,0.6257074763063801,Parah
Kalibagor,286,0.28066126576687533,4.759743230129985,0.28580100625003146,0.32324663454200425,Parah
Banyumas,294,0.275977714261735,5.157166632557313,0.40884352749119096,0.7740680617588149,Parah
Kemranjen,363,0.2716397702461562,4.504936603233111,0.3611219753394107,0.628359665909697,Sedang
Sumbang,357,0.2653074515847774,4.192339896851952,0.2571704321628211,0.3864908443767927,Sedang
Kebasen,334,0.2600517835345335,6.486521975727215,0.3304614798093678,0.6531931352700001,Sedang
Sumpiuh,378,0.25819154699364494,4.54769250745902,0.29635501897655586,0.6410897087841453,Sedang
Tambak,309,0.2566901885141396,3.2194713916268998,0.296407380588493,0.47842289684737793,Sedang
Patikraja,335,0.2511014417314721,5.276039267154894,0.2532373225392497,0.6945901703190055,Sedang
Somagede,301,0.2356600885690161,4.325285362106131,0.28900514226300733,0.8875427920711981,Sedang
Purwojati,305,0.22109312086914543,2.8063641328036466,0.2164129970392685,0.6816667033131233,Sedang
Ajibarang,448,0.21646169296416698,2.666547036646142,0.2244524574568944,0.7450528487475011,Sedang
Jatilawang,301,0.21380587720884373,4.814584481620968,0.19900094259339488,0.7581754465219492,Normal
Baturraden,332,0.21271516758670866,4.2066476775649795,0.20948738290482177,0.8846933529079546,Normal
Kedungbanteng,395,0.210463694742448,4.280517383704185,0.21738291467126558,0.9195194773423223,Normal
Wangon,442,0.20876455459324655,4.569825988201016,0.18147969799874983,0.7336037999718578,Normal
Pekuncen,487,0.19865708851870725,2.4466872519438874,0.1591680925301706,0.7644530376577632,Normal
Cilongok,781,0.18723547976974683,2.4723325512861387,0.15368898563910577,0.909802880358906,Normal
Rawalo,349,0.1844368668867339,2.544704139156816,0.15535412904598866,0.957942095910787,Normal
Gumelar,538,0.1715633197299561,1.640812103274742,0.12126909703377776,0.9153765723388492,Normal
Lumbir,587,0.16530647098540463,1.4258143563009045,0.0940033345348423,0.9003110512966811,Normal
