grid_id,luas_hijau_m2,luas_bangunan_m2,panjang_jalan_m,index_right,kecamatan
0,0.0,12325.803919069996,0.0,1561.0,Lumbir
1,0.0,59075.12144293157,1047.825553591905,1561.0,Lumbir
2,0.0,36477.467274234215,243.34879800215435,1561.0,Lumbir
3,1.8579772568568984,0.0,0.0,1561.0,Lumbir
4,0.0,0.0,0.0,1561.0,Lumbir
5,0.0,0.0,0.0,1561.0,Lumbir
6,0.0,33851.837471636056,122.67246035188468,1561.0,Lumbir
7,0.0,135115.58277040086,1456.1937446855854,1561.0,Lumbir
8,0.0,13371.61163971608,0.0,1561.0,Lumbir
9,0.0,0.0,0.0,1561.0,Lumbir
10,0.0,0.0,0.0,1561.0,Lumbir
11,0.0,0.0,0.0,1561.0,Lumbir
12,21725.697659850408,0.0,0.0,1561.0,Lumbir
13,79732.88001873872,0.0,0.0,1561.0,Lumbir
14,94648.392298141,0.0,0.0,1561.0,Lumbir
15,2307.20850308682,106183.6655705648,1129.5876845410185,1561.0,Lumbir
16,73469.41595379692,8179.774019487154,68.12634982538061,1561.0,Lumbir
17,0.0,0.0,0.0,1561.0,Lumbir
18,798.7364688106501,0.0,0.0,1561.0,Lumbir
19,56812.3200277648,0.0,0.0,1561.0,Lumbir
20,216812.77931266496,9148.234124290702,85.41276742834181,1561.0,Lumbir
21,133762.88817945094,116237.11182054906,564.2342585464562,1561.0,Lumbir
22,21228.670926899136,105250.65216509906,913.1993687134874,1561.0,Lumbir
23,60470.76279190386,19482.695035027133,424.2908839180098,1561.0,Lumbir
24,87.0854574087383,0.0,0.0,1561.0,Lumbir
25,1157.4786273222692,0.0,0.0,1561.0,Lumbir
26,159498.52755214897,3821.186857383276,382.8018357488422,1561.0,Lumbir
27,208314.51759138505,37099.42207504287,0.0,1561.0,Lumbir
28,120062.13397239176,47546.982031630985,350.5844674831433,1561.0,Lumbir
29,33334.84955277746,99408.39630068211,1291.0266255199178,1561.0,Lumbir
30,39072.399968728176,22108.20328162328,315.10449076465807,1561.0,Lumbir
31,127398.80723888052,0.0,0.0,1561.0,Lumbir
