km2,road_km_per_km2,building_area_pct,green_area_pct,city
0.08563745458242848,17.7944530828087,0.0,0.0,Yogyakarta
0.26085362836427894,18.059826037372748,0.0,0.0,Yogyakarta
0.8993820509639789,12.594275155237119,270.1208705692516,1.332534994814613,Yogyakarta
0.6551411353509171,14.04140675611459,457.9591322507895,0.0,Yogyakarta
0.45697396159321313,15.016854351915297,451.28220837956707,3.943373322408436,Yogyakarta
0.32041214993396316,14.528691130611886,121.2190207543325,18.071012991000824,Yogyakarta
0.2272637209784865,12.342622264807288,0.0,11.197338480696867,Yogyakarta
0.011222898447963817,25.02139117977212,0.0,0.0,Yogyakarta
0.4014972936200685,14.648545880426743,0.0,0.9150323524253123,Yogyakarta
1.0,18.24221674775047,165.40269323568134,1.8102896555595611,Yogyakarta
1.0,17.469104205180855,366.1991862040936,1.8604334018538116,Yogyakarta
1.0,15.073807914340382,436.7174825392346,0.0,Yogyakarta
1.0,13.604712526688497,353.0112118285411,8.326543568028809,Yogyakarta
1.0,16.682376609755146,135.03701318265416,3.898458076769723,Yogyakarta
0.7827763495818348,14.99983607828217,2.0227621708729613,0.0,Yogyakarta
0.0018391030996063565,73.94717600584553,0.0,0.0,Yogyakarta
0.39994887563442677,14.156872645589242,0.0,1.645005208447548,Yogyakarta
1.0,13.889965763256038,323.95752541570243,0.0,Yogyakarta
1.0,16.157309968801083,507.9833624350507,7.904603625609114,Yogyakarta
1.0,15.701867779990819,541.9500242014694,6.044170223755301,Yogyakarta
1.0,14.367375999770251,287.53330237829556,6.251085256996921,Yogyakarta
1.0,17.49152576044725,91.63708600722399,3.0289717836999515,Yogyakarta
0.5853647485591736,12.528201870064702,16.39273170142286,3.5963347624356143,Yogyakarta
0.007997250553231708,67.09797138904824,24.64359353886632,191.40965200872319,Yogyakarta
0.666625631251183,19.025986974076616,0.0,2.2962677605834014,Yogyakarta
1.0,16.729910919467724,179.6065786332435,1.7587819274578302,Yogyakarta
1.0,15.141430243784097,212.35617955714042,4.368794638608869,Yogyakarta
1.0,14.996120346255045,183.44338734691294,0.0,Yogyakarta
1.0,17.955673025666588,1.47515173025012,12.289837906023926,Yogyakarta
0.9294246510649458,13.931469291625996,4.172412108650363,4.167542470572471,Yogyakarta
0.0733796178731464,15.943439626428976,12.95894214773009,0.0,Yogyakarta
0.30994914681964886,18.675195349392176,32.360464536220704,4.9681391076696295,Yogyakarta
0.889126942036236,13.567974887212316,0.2523546457675155,6.246844817148054,Yogyakarta
1.0,15.619842706951015,417.0549562351375,4.802258139736883,Yogyakarta
1.0,19.711978638535786,475.78348021119234,1.3110439231342415,Yogyakarta
1.0,17.632447562039424,346.3890572737347,8.254566753309453,Yogyakarta
1.0,20.451452349952735,7.760139970183315,7.449972756993259,Yogyakarta
0.6227049708481225,16.343170797242923,16.269493758685986,0.0,Yogyakarta
0.40933798371955343,19.0465701477491,19.486950833214905,0.0017016641788630176,Yogyakarta
0.7621613926201218,15.251061616174297,1.5963582299207615,1.4512705844500464,Yogyakarta
1.0,17.69769780406335,326.56744110040177,1.4108863161099052,Yogyakarta
1.0,14.104581115116584,368.46810492797385,0.0,Yogyakarta
0.8702222901231177,15.782891015559004,288.4931824017431,0.0,Yogyakarta
0.6487673880949194,15.802419686355357,0.0,0.0,Yogyakarta
0.1110456561351106,24.357777083376952,91.23359696654538,0.0,Yogyakarta
0.08759136317751903,14.671746223085163,0.0,0.0,Yogyakarta
0.6206811815197684,11.32077755337753,1.9602376354602744,0.3202058645455266,Yogyakarta
0.37010391849862223,16.316496779970716,581.8342135733939,0.0,Yogyakarta
0.3498933208488937,18.936892820650193,680.8020316222361,2.078614846940763,Yogyakarta
0.06521768422566668,26.52235971820005,2304.5693885002647,0.0,Yogyakarta
