grid_id,kecamatan,cell_area_m2,bangunan_m2,hijau_m2,jalan_m,road_km_per_km2,building_area_pct,green_area_pct,ratio_green_building,ratio_road_building,score,kategori_emisi
1,Lumbir,21280.20711338017,12325.803919070018,0.0,0.0,0.0,57.92144716166804,0.0,0.0,0.0,0.12646472519239668,Tinggi
2,Lumbir,152202.01879144175,59075.1214429313,0.0,1047.825553591905,6.88443925982159,38.813625411815536,0.0,0.0,0.017736871141822083,0.13841688886175138,Tinggi
3,Lumbir,218065.4791933844,36477.46727423424,0.0,243.34879800215435,1.1159437014161617,16.727758748960607,0.0,0.0,0.006671025845815579,0.04522313330038139,Sedang
4,Lumbir,26717.384692392425,0.0,1.8579772496287812,0.0,0.0,0.0,0.006954188334750543,1.8579772496287812,0.0,-7.687137391615986e-06,Sedang
5,Lumbir,33966.95327013838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sedang
6,Lumbir,138592.8058460923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sedang
7,Lumbir,246175.84396771376,33851.837471636056,0.0,122.67246035188468,0.49831233793992114,13.75108009219449,0.0,0.0,0.0036236980269280837,0.033908778889165825,Sedang
8,Lumbir,250000.0,135115.58277040086,0.0,1456.1937446855857,5.824774978742343,54.046233108160344,0.0,0.0,0.01077731330106274,0.16341424924168163,Tinggi
9,Lumbir,250000.0,13371.61163971608,0.0,0.0,0.0,5.3486446558864325,0.0,0.0,0.0,0.01167814185772114,Sedang
10,Lumbir,81020.97634272031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sedang
11,Lumbir,132.33793920506406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sedang
12,Lumbir,149693.68437830673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sedang
13,Lumbir,246468.13877268854,0.0,21725.697659850408,0.0,0.0,0.0,8.81480980382924,21725.697659850408,0.0,-0.009743862372031889,Sedang
14,Lumbir,250000.0,0.0,79732.88001873872,0.0,0.0,0.0,31.89315200749549,79732.88001873872,0.0,-0.035254587527949875,Sedang
15,Lumbir,250000.0,0.0,94648.39229814099,0.0,0.0,0.0,37.85935691925639,94648.39229814099,0.0,-0.041849611225260396,Sedang
16,Lumbir,250000.0,106183.66557056479,2307.20850308682,1129.5876845410185,4.518350738164074,42.47346622822592,0.9228834012347281,0.02172826453508553,0.010637954910639649,0.1269412794375601,Tinggi
17,Lumbir,250000.0,8179.774019487154,73469.41595379691,68.12634982538061,0.27250539930152246,3.2719096077948615,29.387766381518766,8.980741404027029,0.008327616636653093,-0.023216826463472312,Sedang
