grid_id,kecamatan,cell_area_m2,bangunan_m2,hijau_m2,jalan_m,road_km_per_km2,building_area_pct,green_area_pct,ratio_green_building,ratio_road_building,score,kategori_emisi,wilayah
26,Ngampilan,250000.0,0.0,0.0,6832.9616904517425,27.33184676180697,0.0,0.0,0.0,6832.9616904517425,0.1360100349166065,Sedang,Yogyakarta
26,Ngampilan,250000.0,0.0,0.0,6832.9616904517425,27.33184676180697,0.0,0.0,0.0,6832.9616904517425,0.1360100349166065,Sedang,Yogyakarta
27,Wirobrajan,250000.0,0.0,0.0,6904.788308149823,27.61915323259929,0.0,0.0,0.0,6904.788308149823,0.1374397430320067,Sedang,Yogyakarta
27,Wirobrajan,250000.0,0.0,0.0,6904.788308149823,27.61915323259929,0.0,0.0,0.0,6904.788308149823,0.1374397430320067,Sedang,Yogyakarta
27,Wirobrajan,250000.0,0.0,0.0,6904.788308149823,27.61915323259929,0.0,0.0,0.0,6904.788308149823,0.1374397430320067,Sedang,Yogyakarta
27,Ngampilan,250000.0,0.0,0.0,6904.788308149823,27.61915323259929,0.0,0.0,0.0,6904.788308149823,0.1374397430320067,Sedang,Yogyakarta
27,Ngampilan,250000.0,0.0,0.0,6904.788308149823,27.61915323259929,0.0,0.0,0.0,6904.788308149823,0.1374397430320067,Sedang,Yogyakarta
27,Ngampilan,250000.0,0.0,0.0,6904.788308149823,27.61915323259929,0.0,0.0,0.0,6904.788308149823,0.1374397430320067,Sedang,Yogyakarta
27,Gedong Tengen,250000.0,0.0,0.0,6904.788308149823,27.61915323259929,0.0,0.0,0.0,6904.788308149823,0.1374397430320067,Sedang,Yogyakarta
27,Gedong Tengen,250000.0,0.0,0.0,6904.788308149823,27.61915323259929,0.0,0.0,0.0,6904.788308149823,0.1374397430320067,Sedang,Yogyakarta
27,Gedong Tengen,250000.0,0.0,0.0,6904.788308149823,27.61915323259929,0.0,0.0,0.0,6904.788308149823,0.1374397430320067,Sedang,Yogyakarta
28,Wirobrajan,250000.0,0.0,0.0,5794.800628929476,23.179202515717904,0.0,0.0,0.0,5794.800628929476,0.11534544924740604,Sedang,Yogyakarta
28,Wirobrajan,250000.0,0.0,0.0,5794.800628929476,23.179202515717904,0.0,0.0,0.0,5794.800628929476,0.11534544924740604,Sedang,Yogyakarta
28,Wirobrajan,250000.0,0.0,0.0,5794.800628929476,23.179202515717904,0.0,0.0,0.0,5794.800628929476,0.11534544924740604,Sedang,Yogyakarta
28,Gedong Tengen,250000.0,0.0,0.0,5794.800628929476,23.179202515717904,0.0,0.0,0.0,5794.800628929476,0.11534544924740604,Sedang,Yogyakarta
28,Gedong Tengen,250000.0,0.0,0.0,5794.800628929476,23.179202515717904,0.0,0.0,0.0,5794.800628929476,0.11534544924740604,Sedang,Yogyakarta
28,Gedong Tengen,250000.0,0.0,0.0,5794.800628929476,23.179202515717904,0.0,0.0,0.0,5794.800628929476,0.11534544924740604,Sedang,Yogyakarta
28,Tegalrejo,250000.0,0.0,0.0,5794.800628929476,23.179202515717904,0.0,0.0,0.0,5794.800628929476,0.11534544924740604,Sedang,Yogyakarta
28,Tegalrejo,250000.0,0.0,0.0,5794.800628929476,23.179202515717904,0.0,0.0,0.0,5794.800628929476,0.11534544924740604,Sedang,Yogyakarta
28,Tegalrejo,250000.0,0.0,0.0,5794.800628929476,23.179202515717904,0.0,0.0,0.0,5794.800628929476,0.11534544924740604,Sedang,Yogyakarta
29,Gedong Tengen,250000.0,0.0,0.0,7675.190535210808,30.70076214084323,0.0,0.0,0.0,7675.190535210808,0.15277459174758154,Sedang,Yogyakarta
29,Gedong Tengen,250000.0,0.0,0.0,7675.190535210808,30.70076214084323,0.0,0.0,0.0,7675.190535210808,0.15277459174758154,Sedang,Yogyakarta
29,Gedong Tengen,250000.0,0.0,0.0,7675.190535210808,30.70076214084323,0.0,0.0,0.0,7675.190535210808,0.15277459174758154,Sedang,Yogyakarta
29,Jetis,250000.0,0.0,0.0,7675.190535210808,30.70076214084323,0.0,0.0,0.0,7675.190535210808,0.15277459174758154,Sedang,Yogyakarta
29,Jetis,250000.0,0.0,0.0,7675.190535210808,30.70076214084323,0.0,0.0,0.0,7675.190535210808,0.15277459174758154,Sedang,Yogyakarta
29,Jetis,250000.0,0.0,0.0,7675.190535210808,30.70076214084323,0.0,0.0,0.0,7675.190535210808,0.15277459174758154,Sedang,Yogyakarta
29,Tegalrejo,250000.0,0.0,0.0,7675.190535210808,30.70076214084323,0.0,0.0,0.0,7675.190535210808,0.15277459174758154,Sedang,Yogyakarta
29,Tegalrejo,250000.0,0.0,0.0,7675.190535210808,30.70076214084323,0.0,0.0,0.0,7675.190535210808,0.15277459174758154,Sedang,Yogyakarta
29,Tegalrejo,250000.0,0.0,0.0,7675.190535210808,30.70076214084323,0.0,0.0,0.0,7675.190535210808,0.15277459174758154,Sedang,Yogyakarta
